step,val_loss,epoch,train_loss
3,30032.0703125,0,
7,29999.466796875,1,
11,29962.890625,2,
15,29921.46484375,3,
19,29873.640625,4,
23,29817.541015625,5,
27,29751.84375,6,
31,29675.220703125,7,
35,29585.892578125,8,
39,29482.150390625,9,
43,29361.69921875,10,
47,29221.107421875,11,
49,,12,31172.064453125
51,29058.451171875,12,
55,28872.751953125,13,
59,28661.193359375,14,
63,28422.134765625,15,
67,28153.791015625,16,
71,27854.34375,17,
75,27522.322265625,18,
79,27155.021484375,19,
83,26751.4453125,20,
87,26310.083984375,21,
91,25830.11328125,22,
95,25309.978515625,23,
99,,24,34713.80078125
99,24751.130859375,24,
103,24152.34375,25,
107,23513.998046875,26,
111,22837.71484375,27,
115,22124.525390625,28,
119,21379.900390625,29,
123,20605.11328125,30,
127,19802.845703125,31,
131,18978.2265625,32,
135,18137.271484375,33,
139,17284.4140625,34,
143,16425.892578125,35,
147,15568.9384765625,36,
149,,37,16585.130859375
151,14719.1103515625,37,
155,13884.9140625,38,
159,13072.728515625,39,
163,12290.341796875,40,
167,11544.71484375,41,
171,10842.08984375,42,
175,10188.068359375,43,
179,9588.2255859375,44,
183,9046.55078125,45,
187,8564.759765625,46,
191,8143.6279296875,47,
195,7783.57275390625,48,
199,,49,11009.4658203125
199,7480.642578125,49,
203,7233.02978515625,50,
207,7034.74462890625,51,
211,6879.392578125,52,
215,6759.4755859375,53,
219,6670.42626953125,54,
223,6606.72802734375,55,
227,6562.86572265625,56,
231,6534.41650390625,57,
235,6516.87548828125,58,
239,6505.7353515625,59,
243,6499.0341796875,60,
247,6494.75,61,
249,,62,7513.1923828125
251,6491.48974609375,62,
255,6488.84814453125,63,
259,6486.69873046875,64,
263,6484.95849609375,65,
267,6483.12451171875,66,
271,6481.703125,67,
275,6480.3251953125,68,
279,6478.77978515625,69,
283,6476.826171875,70,
287,6475.080078125,71,
291,6473.4345703125,72,
295,6471.7138671875,73,
299,,74,8429.1689453125
299,6469.99169921875,74,
303,6468.95751953125,75,
307,6468.375,76,
311,6468.5068359375,77,
315,6469.06591796875,78,
319,6469.5517578125,79,
323,6469.826171875,80,
327,6470.263671875,81,
331,6470.4697265625,82,
335,6470.3173828125,83,
339,6470.39111328125,84,
343,6470.22265625,85,
347,6470.00537109375,86,
349,,87,7333.958984375
351,6469.8642578125,87,
355,6470.22998046875,88,
359,6470.2333984375,89,
363,6470.32861328125,90,
367,6470.20849609375,91,
371,6470.24853515625,92,
375,6470.3994140625,93,
379,6469.7431640625,94,
383,6469.37890625,95,
387,6469.13720703125,96,
391,6469.3466796875,97,
395,6469.736328125,98,
399,,99,8691.08203125
399,6469.97314453125,99,
