step,val_loss,epoch,train_loss
3,30084.650390625,0,
7,30056.234375,1,
11,30025.501953125,2,
15,29991.837890625,3,
19,29953.634765625,4,
23,29909.314453125,5,
27,29856.970703125,6,
31,29795.93359375,7,
35,29724.64453125,8,
39,29640.943359375,9,
43,29543.52734375,10,
47,29430.5546875,11,
49,,12,31398.1953125
51,29299.998046875,12,
55,29150.162109375,13,
59,28979.294921875,14,
63,28785.955078125,15,
67,28566.341796875,16,
71,28319.0,17,
75,28042.763671875,18,
79,27735.05078125,19,
83,27394.421875,20,
87,27019.2265625,21,
91,26608.392578125,22,
95,26161.05859375,23,
99,,24,35868.22265625
99,25676.5,24,
103,25153.919921875,25,
107,24593.423828125,26,
111,23996.05078125,27,
115,23361.123046875,28,
119,22691.564453125,29,
123,21988.283203125,30,
127,21254.29296875,31,
131,20491.8203125,32,
135,19704.234375,33,
139,18892.14453125,34,
143,18063.341796875,35,
147,17224.21484375,36,
149,,37,18251.103515625
151,16379.7431640625,37,
155,15538.5205078125,38,
159,14706.3359375,39,
163,13889.9853515625,40,
167,13094.6474609375,41,
171,12327.75390625,42,
175,11596.755859375,43,
179,10906.8720703125,44,
183,10263.7099609375,45,
187,9672.2080078125,46,
191,9136.1064453125,47,
195,8655.09765625,48,
199,,49,12709.8818359375
199,8232.4833984375,49,
203,7866.7587890625,50,
207,7558.5517578125,51,
211,7302.4140625,52,
215,7095.34228515625,53,
219,6933.11669921875,54,
223,6808.14501953125,55,
227,6713.50146484375,56,
231,6643.5859375,57,
235,6595.4931640625,58,
239,6562.099609375,59,
243,6539.72705078125,60,
247,6525.0458984375,61,
249,,62,7482.83154296875
251,6515.58984375,62,
255,6509.54296875,63,
259,6505.37890625,64,
263,6502.06787109375,65,
267,6499.392578125,66,
271,6496.6767578125,67,
275,6493.66796875,68,
279,6490.80322265625,69,
283,6488.22021484375,70,
287,6486.13037109375,71,
291,6484.49609375,72,
295,6482.9462890625,73,
299,,74,8342.8798828125
299,6481.40771484375,74,
303,6479.9306640625,75,
307,6478.53515625,76,
311,6477.501953125,77,
315,6476.71728515625,78,
319,6475.66552734375,79,
323,6475.103515625,80,
327,6475.05126953125,81,
331,6474.71044921875,82,
335,6474.95556640625,83,
339,6474.9755859375,84,
343,6475.14501953125,85,
347,6475.478515625,86,
349,,87,7450.60595703125
351,6475.1181640625,87,
355,6474.6220703125,88,
359,6474.15771484375,89,
363,6473.330078125,90,
367,6472.32177734375,91,
371,6471.33447265625,92,
375,6470.56103515625,93,
379,6470.5380859375,94,
383,6470.42333984375,95,
387,6470.4404296875,96,
391,6470.30859375,97,
395,6470.29833984375,98,
399,,99,8725.7138671875
399,6470.50146484375,99,
