step,val_loss,epoch,train_loss
3,30044.23828125,0,
7,30016.970703125,1,
11,29985.48828125,2,
15,29949.193359375,3,
19,29907.484375,4,
23,29859.142578125,5,
27,29803.212890625,6,
31,29738.166015625,7,
35,29661.564453125,8,
39,29572.455078125,9,
43,29469.228515625,10,
47,29349.9140625,11,
49,,12,31311.166015625
51,29212.001953125,12,
55,29052.673828125,13,
59,28870.4765625,14,
63,28664.40234375,15,
67,28432.365234375,16,
71,28171.494140625,17,
75,27880.73046875,18,
79,27557.4921875,19,
83,27199.712890625,20,
87,26807.2578125,21,
91,26378.48828125,22,
95,25910.337890625,23,
99,,24,35449.7734375
99,25403.107421875,24,
103,24856.51171875,25,
107,24270.85546875,26,
111,23646.634765625,27,
115,22986.68359375,28,
119,22291.857421875,29,
123,21561.080078125,30,
127,20796.173828125,31,
131,20001.373046875,32,
135,19181.7421875,33,
139,18342.1328125,34,
143,17486.943359375,35,
147,16617.341796875,36,
149,,37,18070.1640625
151,15741.078125,37,
155,14862.58203125,38,
159,13986.275390625,39,
163,13121.2041015625,40,
167,12274.8046875,41,
171,11452.9541015625,42,
175,10662.994140625,43,
179,9910.87109375,44,
183,9199.8505859375,45,
187,8536.5751953125,46,
191,7926.56103515625,47,
195,7372.1015625,48,
199,,49,10197.0458984375
199,6875.73974609375,49,
203,6436.66015625,50,
207,6055.56201171875,51,
211,5727.8447265625,52,
215,5449.37890625,53,
219,5219.814453125,54,
223,5035.8154296875,55,
227,4888.1865234375,56,
231,4772.06005859375,57,
235,4682.93408203125,58,
239,4614.9296875,59,
243,4562.5341796875,60,
247,4521.71484375,61,
249,,62,4751.78515625
251,4488.87646484375,62,
255,4461.19775390625,63,
259,4437.04296875,64,
263,4415.232421875,65,
267,4394.86083984375,66,
271,4376.1533203125,67,
275,4358.4013671875,68,
279,4340.6904296875,69,
283,4323.46630859375,70,
287,4306.7568359375,71,
291,4290.70849609375,72,
295,4275.55712890625,73,
299,,74,4997.61181640625
299,4260.72265625,74,
303,4246.3916015625,75,
307,4231.9150390625,76,
311,4217.77490234375,77,
315,4203.7578125,78,
319,4189.712890625,79,
323,4176.0439453125,80,
327,4162.30517578125,81,
331,4148.951171875,82,
335,4136.52490234375,83,
339,4123.75390625,84,
343,4110.734375,85,
347,4098.17724609375,86,
349,,87,4981.44873046875
351,4085.83935546875,87,
355,4073.43603515625,88,
359,4061.3935546875,89,
363,4049.62744140625,90,
367,4038.315185546875,91,
371,4027.1015625,92,
375,4015.8203125,93,
379,4004.995849609375,94,
383,3994.499267578125,95,
387,3984.2255859375,96,
391,3973.624267578125,97,
395,3962.79345703125,98,
399,,99,6245.64794921875
399,3952.57958984375,99,
