step,val_loss,epoch,train_loss
3,30086.2265625,0,
7,30058.263671875,1,
11,30027.69140625,2,
15,29993.966796875,3,
19,29955.6484375,4,
23,29910.5546875,5,
27,29858.0546875,6,
31,29797.09765625,7,
35,29725.123046875,8,
39,29640.306640625,9,
43,29541.134765625,10,
47,29425.98828125,11,
49,,12,31386.546875
51,29293.2578125,12,
55,29141.20703125,13,
59,28968.271484375,14,
63,28772.0,15,
67,28549.515625,16,
71,28299.970703125,17,
75,28021.4375,18,
79,27712.90234375,19,
83,27372.8125,20,
87,26999.05859375,21,
91,26589.373046875,22,
95,26141.720703125,23,
99,,24,35914.61328125
99,25656.908203125,24,
103,25133.115234375,25,
107,24571.35546875,26,
111,23971.36328125,27,
115,23333.091796875,28,
119,22660.23046875,29,
123,21952.369140625,30,
127,21214.345703125,31,
131,20447.8984375,32,
135,19655.5078125,33,
139,18837.208984375,34,
143,18000.03125,35,
147,17148.623046875,36,
149,,37,18252.03515625
151,16287.619140625,37,
155,15421.517578125,38,
159,14556.7177734375,39,
163,13699.44921875,40,
167,12854.5185546875,41,
171,12029.611328125,42,
175,11234.2099609375,43,
179,10471.197265625,44,
183,9746.5576171875,45,
187,9064.568359375,46,
191,8429.7568359375,47,
195,7845.8095703125,48,
199,,49,11282.4853515625
199,7315.04443359375,49,
203,6838.0966796875,50,
207,6415.5654296875,51,
211,6047.4111328125,52,
215,5730.72021484375,53,
219,5461.54150390625,54,
223,5236.29150390625,55,
227,5052.798828125,56,
231,4904.9521484375,57,
235,4786.2412109375,58,
239,4691.68017578125,59,
243,4615.2216796875,60,
247,4555.09765625,61,
249,,62,4846.681640625
251,4507.376953125,62,
255,4470.22509765625,63,
259,4439.81396484375,64,
263,4412.5556640625,65,
267,4389.8154296875,66,
271,4369.96435546875,67,
275,4350.89306640625,68,
279,4333.08740234375,69,
283,4316.9326171875,70,
287,4301.25,71,
291,4286.76806640625,72,
295,4272.74951171875,73,
299,,74,5512.31591796875
299,4258.1845703125,74,
303,4244.1171875,75,
307,4230.57177734375,76,
311,4216.8251953125,77,
315,4204.0654296875,78,
319,4191.22705078125,79,
323,4178.24853515625,80,
327,4165.57080078125,81,
331,4152.68701171875,82,
335,4139.9521484375,83,
339,4128.37890625,84,
343,4117.1806640625,85,
347,4106.0693359375,86,
349,,87,4301.17041015625
351,4095.123046875,87,
355,4084.3994140625,88,
359,4073.60205078125,89,
363,4063.055419921875,90,
367,4052.435546875,91,
371,4041.15869140625,92,
375,4029.362548828125,93,
379,4017.776123046875,94,
383,4006.119873046875,95,
387,3994.781005859375,96,
391,3984.709716796875,97,
395,3974.873046875,98,
399,,99,5113.130859375
399,3964.784912109375,99,
